"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","Stage","PANAS_PA","SHS","SCS","Engagement","FS","Stress","Homesick","Lonely","PANAS_NA","diff","Group"
"143",143,"Direct",20,2,2,1,"post",2.6,2.33333333333333,4.55,3,5,2,1,1.8,2.2,0.15,"Direct"
"144",144,"Indirect",21,4,2,1,"post",4.2,3.33333333333333,5.5,1,6.375,4,3,1.45,1.4,-0.75,"Indirect"
"145",145,"Control",20,2,1,1,"post",3,3,3.5,4,5.625,5,1,2.55,2.8,-0.3,"Control"
"146",146,"Direct",30,2,1,1,"post",3.2,3.33333333333333,4.3,4,4.875,1,1,1.8,1.2,0.1,"Direct"
"147",147,"Indirect",21,2,2,1,"post",3.8,3.66666666666667,4.55,3,6.125,2,2,1.8,1.4,0.1,"Indirect"
"148",148,"Control",18,1,2,1,"post",1.6,3.66666666666667,3.7,4,5.5,4,4,2.9,1.2,-0.5,"Control"
"149",149,"Direct",19,2,2,2,"post",3.2,4.66666666666667,5.35,2,6,1,1,1.05,1.2,-0.0999999999999999,"Direct"
"150",150,"Indirect",23,4,2,1,"post",2.8,4,4,2,5.375,2,2,2.2,1.6,-0.3,"Indirect"
"151",151,"Control",18,1,2,2,"post",3.6,3.66666666666667,4.7,2,5.25,3,1,1.4,1.6,-0.1,"Control"
"152",152,"Direct",19,2,2,1,"post",3.6,4,5.1,1,5.75,3,4,1.3,1.2,-0.2,"Direct"
"153",153,"Indirect",19,2,2,1,"post",3.6,4,5.35,2,6.25,2,1,1.5,1.2,-0.15,"Indirect"
"154",154,"Control",23,3,1,1,"post",3.2,4.33333333333333,4.9,2,6,2,2,1.65,2.6,0.0499999999999998,"Control"
"155",155,"Direct",18,1,1,1,"post",3.2,3.66666666666667,4.47368421052632,3,5.625,1,1,1.95,1,-0.2,"Direct"
"156",156,"Indirect",21,4,1,2,"post",3.4,4,4.15,3,5.375,4,3,2.15,2,-0.25,"Indirect"
"157",157,"Control",18,1,2,1,"post",2.6,2.33333333333333,2.9,5,4,5,4,3.1,2.8,0.0500000000000003,"Control"
"158",158,"Direct",20,3,2,1,"post",2.8,4.66666666666667,4.26315789473684,2,6.25,2,1,2.35,1.8,-0.3,"Direct"
"159",159,"Indirect",18,1,2,1,"post",4.2,4,3.35,2,5.75,2,1,2.75,1,-0.3,"Indirect"
"160",160,"Control",23,4,2,1,"post",3.6,4,4.25,2,5.875,3,2,2.15,1.2,0.15,"Control"
"161",161,"Direct",18,1,1,1,"post",2,3.33333333333333,5,3,6.375,2,1,1.6,1.6,0.05,"Direct"
"162",162,"Indirect",19,2,2,1,"post",2.6,4,3.8,3,5.25,1,1,2.25,1.4,-0.15,"Indirect"
"163",163,"Control",18,1,2,1,"post",3.4,2.33333333333333,2.95,5,4.5,3,1,2.9,1,-0.25,"Control"
"164",164,"Direct",20,3,2,1,"post",4.2,3.33333333333333,5.05,2,6.5,2,1,1.5,1.8,-0.15,"Direct"
"165",165,"Indirect",18,1,2,1,"post",4,3.66666666666667,5.3,2,6.125,3,2,1.55,1,-0.25,"Indirect"
"166",166,"Control",19,1,2,1,"post",2.8,2.66666666666667,4.85,3,5.75,5,5,2.1,2.2,0.35,"Control"
"167",167,"Direct",19,1,2,1,"post",4,4,5.05,2,6.625,2,2,1.65,1.8,-0.25,"Direct"
"168",168,"Indirect",18,1,2,1,"post",3.2,2.66666666666667,5.625,2,6.375,1,3,1.15,1,-0.45,"Indirect"
"169",169,"Control",19,1,2,1,"post",3.2,2.33333333333333,3.5,4,5.5,3,4,2.75,2.2,0.223684210526316,"Control"
"170",170,"Direct",19,2,2,1,"post",2.2,4.33333333333333,4.75,2,5.875,1,3,1.75,1.2,-0.5,"Direct"
"171",171,"Indirect",24,4,1,1,"post",2.6,3.66666666666667,3.7,2,6.125,1,1,2.4,1,-0.1,"Indirect"
"172",172,"Control",19,2,2,1,"post",2,2.66666666666667,3.55,3,5.25,4,4,2.45,2,-0.25,"Control"
"173",173,"Direct",19,1,2,1,"post",4.6,5,5.05,3,6.5,1,2,1.5,1.2,-0.1,"Direct"
"174",174,"Indirect",19,1,1,1,"post",2.75,3,4.25,3,5.625,4,1,2.35,4.4,0.25,"Indirect"
"175",175,"Control",19,1,1,1,"post",3,3,3.65,3,4.625,4,1,2.7,4.4,0.278947368421053,"Control"
"176",176,"Direct",18,1,2,1,"post",3.6,3.66666666666667,4.7,2,5.25,1,3,2.2,2,0.0500000000000003,"Direct"
"177",177,"Indirect",19,2,2,1,"post",2.4,4.66666666666667,5.55,2,6.125,2,1,1.15,2,-0.4,"Indirect"
"178",178,"Control",21,4,2,1,"post",2.8,2.66666666666667,4.25,3,5.125,2,1,1.55,2.6,-0.0999999999999999,"Control"
"179",179,"Direct",21,3,2,1,"post",3.8,3.66666666666667,5.2,2,6.125,2,2,1.4,1.6,-0.05,"Direct"
"180",180,"Indirect",21,3,1,1,"post",4,3.33333333333333,4.15,2,5.625,3,1,2.1,2.6,-0.2,"Indirect"
"181",181,"Control",19,2,2,1,"post",3.8,4.33333333333333,5.55,2,6.125,2,3,1.4,1.2,-0.3,"Control"
"182",182,"Direct",19,2,2,1,"post",3.4,3.33333333333333,4.85,3,6,2,2,1.8,2,0.2,"Direct"
"183",183,"Indirect",25,5,1,1,"post",5,4.33333333333333,5.35,3,7,2,1,1.55,1,0,"Indirect"
"184",184,"Control",21,4,1,1,"post",1.4,2,3.9,4,5.25,4,3,2.4,1.4,0.15,"Control"
"185",185,"Direct",20,2,1,1,"post",3.6,3.33333333333333,5.05,1,5.875,2,1,1.6,1,-0.4,"Direct"
"186",186,"Indirect",19,2,2,2,"post",3.8,4.66666666666667,5.85,1,6.75,2,5,1.35,1.2,-0.55,"Indirect"
"187",187,"Control",22,4,2,1,"post",3,2.66666666666667,3.6,4,4.75,2,4,2.3,1.4,0.3,"Control"
"188",188,"Direct",20,4,2,1,"post",2.4,3,3.6,2,3.5,2,1,2.45,1.2,-0.95,"Direct"
"189",189,"Indirect",21,4,1,1,"post",2.6,3.66666666666667,5,3,6.25,1,1,1.55,1,-0.2,"Indirect"
"190",190,"Control",18,1,2,1,"post",3.4,3.66666666666667,4.95,2,5.375,2,3,1.8,2.2,0.15,"Control"
"191",191,"Direct",22,4,1,1,"post",3.6,4,4.8,3,6.5,2,1,1.75,1,-0.15,"Direct"
"192",192,"Indirect",18,1,2,1,"post",3.6,4,4.4,3,5.5,3,3,1.9,1.4,-0.1,"Indirect"
"193",193,"Control",21,3,1,1,"post",4.6,3.66666666666667,5.2,3,5.875,3,1,1.85,1.2,-0.25,"Control"
"194",194,"Direct",23,4,1,1,"post",2.6,3.33333333333333,5.45,1,6.625,2,1,1.5,1.4,-0.25,"Direct"
"195",195,"Indirect",22,3,1,1,"post",3,4.33333333333333,4.75,3,6.125,4,1,2.2,2.6,0.4,"Indirect"
"196",196,"Control",24,5,1,1,"post",2.6,3.33333333333333,4.2,2,5,4,1,1.9,1.8,0.2,"Control"
"197",197,"Direct",19,2,2,1,"post",2.4,4,5.25,2,6.5,1,1,1.7,1,-0.1,"Direct"
"198",198,"Indirect",20,2,2,2,"post",1.8,4.33333333333333,4.15,2,5.875,3,4,2,1.8,0.15,"Indirect"
"199",199,"Control",19,2,2,3,"post",3.6,3.66666666666667,5.1,1,5.625,3,1,1.6,2.2,0.05,"Control"
"200",200,"Direct",22,1,2,2,"post",2.4,2.66666666666667,3.21052631578947,3,4.75,3,1,2.75,1.6,0.3,"Direct"
"201",201,"Indirect",28,5,1,1,"post",3,3,3.6,3,4.75,1,1,2.55,1.2,-0.0289473684210528,"Indirect"
"202",202,"Control",21,3,2,1,"post",1.6,2.66666666666667,4.5,2,5.625,3,1,2.05,1.2,0.15,"Control"
"203",203,"Direct",19,1,2,1,"post",4.2,3.33333333333333,3.6,2,5.5,1,1,1.75,1,-0.15,"Direct"
"204",204,"Indirect",20,2,1,1,"post",3.8,2.66666666666667,2.15,5,3.75,4,1,3.15,2.8,-0.0500000000000003,"Indirect"
"205",205,"Control",18,1,2,2,"post",3.6,3.66666666666667,3.7,3,4.5,2,1,1.9,3.2,0,"Control"
"206",206,"Direct",19,2,2,1,"post",4,3.66666666666667,5.3,2,6.125,3,1,1.3,1.4,-0.25,"Direct"
"207",207,"Indirect",20,2,1,1,"post",2,3.66666666666667,4.15,3,5.375,2,1,2.2,1,-0.25,"Indirect"
"208",208,"Control",19,2,2,1,"post",2,2.66666666666667,4.55,4,4.5,5,2,1.75,3,0,"Control"
"209",209,"Direct",19,2,1,1,"post",3,4,5.1,2,6,1,1,1.05,1,-0.0999999999999999,"Direct"
"210",210,"Indirect",19,2,1,1,"post",4.2,4.33333333333333,5.6,3,6.5,4,1,1.6,1.4,-0.0315789473684209,"Indirect"
"211",211,"Control",18,1,2,2,"post",3.8,3.66666666666667,4.5,2,6.5,4,4,1.9,1.4,-0.2,"Control"
"212",212,"Direct",21,2,1,1,"post",3.2,3.66666666666667,4.45,5,5.5,1,1,2.3,1,-0.0157894736842108,"Direct"
"213",213,"Indirect",19,2,2,1,"post",4.4,2.66666666666667,5.8,1,6.25,2,1,1.3,1,-0.2,"Indirect"
"214",214,"Control",18,1,2,1,"post",2,2.33333333333333,3,4,4.5,3,2,2.85,2,-0.1,"Control"
"215",215,"Direct",21,2,2,1,"post",2.8,2,3.1,3,5,2,2,2.55,1.8,-0.35,"Direct"
"216",216,"Indirect",19,2,2,1,"post",3.2,2.66666666666667,4.05263157894737,4,4.75,3,3,2.45,3,-0.0999999999999996,"Indirect"
"217",217,"Control",19,1,2,1,"post",3.8,4.66666666666667,4.55,2,6.875,2,3,2,2.8,0.05,"Control"
"218",218,"Direct",18,1,2,2,"post",3.4,2.66666666666667,3.5,4,4.375,2,1,2.75,2.2,-0.5,"Direct"
"219",219,"Indirect",19,1,2,2,"post",3.2,2.66666666666667,3.2,3,3.5,4,1,2.75,3.6,-0.1,"Indirect"
"220",220,"Control",19,2,1,1,"post",3.6,5,5.75,2,6.375,4,2,1.1,1,0,"Control"
"221",221,"Direct",20,2,2,1,"post",4,5,6,4,7,2,1,1,1,-0.05,"Direct"
"222",222,"Indirect",19,2,1,1,"post",4.2,4,5.55,1,7,2,1,1,1,-0.3,"Indirect"
"223",223,"Control",21,4,2,1,"post",3.8,2.66666666666667,5.35,2,6,3,3,1.8,2.2,0,"Control"
"224",224,"Direct",21,2,1,1,"post",4,4,5.35,1,5.75,1,1,1.4,1,-0.15,"Direct"
"225",225,"Indirect",20,1,2,1,"post",3.2,3.33333333333333,3.65,2,4.625,5,2,2.35,3.4,0,"Indirect"
"226",226,"Control",22,4,2,1,"post",3.4,4.66666666666667,5.7,2,6.25,2,1,1.25,1.4,-0.2,"Control"
"227",227,"Direct",21,4,2,1,"post",3.4,2.66666666666667,4.65,3,4.5,3,2,1.9,3,-0.25,"Direct"
"228",228,"Indirect",18,1,1,1,"post",1.6,2.33333333333333,3.42105263157895,4,5.25,3,1,2.4,1,-0.2,"Indirect"
"229",229,"Control",19,2,2,2,"post",4,3.66666666666667,5.05,2,6,4,3,1.2,1.4,-0.0105263157894737,"Control"
"230",230,"Direct",19,2,2,1,"post",3,4.33333333333333,5.1,2,6.125,1,1,1.05,1.2,-0.2,"Direct"
"231",231,"Indirect",19,1,2,1,"post",3,3.66666666666667,4.95,2,6.125,2,3,1.55,1,-0.35,"Indirect"
"232",232,"Control",29,4,1,1,"post",4.8,4.33333333333333,5.10526315789474,5,6.625,1,3,2.15789473684211,1.6,-0.242105263157895,"Control"
"233",233,"Direct",21,4,2,1,"post",2.6,3.66666666666667,5.55,1,6.625,2,2,1.3,1,-0.3,"Direct"
"234",234,"Indirect",19,2,2,1,"post",2.8,2,4.25,3,5.5,2,2,2.6,1.2,0.65,"Indirect"
"235",235,"Control",18,1,2,2,"post",4.6,4.33333333333333,5.4,1,6.625,3,1,1.55,1.2,-0.05,"Control"
"236",236,"Direct",19,1,2,1,"post",3.2,4.33333333333333,4,1,5.375,2,2,2.15,1.6,-0.6,"Direct"
"237",237,"Indirect",19,2,2,1,"post",4,4.66666666666667,5.55,1,6.25,3,1,1.65,1,0,"Indirect"
"238",238,"Control",20,2,2,1,"post",1.8,2,2.9,3,3.25,1,4,2.95,2.2,-0.35,"Control"
"239",239,"Direct",19,2,1,1,"post",4.2,4.66666666666667,3.25,5,6.375,3,3,2.55,2.2,0.15,"Direct"
"240",240,"Indirect",19,2,2,1,"post",3.6,3.66666666666667,4.7,1,6,2,1,1.75,1.4,0.05,"Indirect"
"241",241,"Control",18,1,2,1,"post",2.4,3.66666666666667,3.8,3,5.375,3,3,2.4,1.4,0.0499999999999998,"Control"
"242",242,"Direct",19,1,2,1,"post",2.6,3.33333333333333,4,2,5.75,3,3,2.15,1.8,-0.35,"Direct"
"243",243,"Indirect",27,2,1,1,"post",2.6,3.66666666666667,3.9,4,5.5,3,1,2.1,2.2,0,"Indirect"
"244",244,"Control",21,3,1,1,"post",3.4,5,5.25,2,6.5,1,1,1.5,1,-0.05,"Control"
"245",245,"Direct",21,3,2,1,"post",3.4,4.66666666666667,5.25,1,6.125,3,1,1.4,1,-0.2,"Direct"
"246",246,"Indirect",20,2,1,1,"post",3,3.66666666666667,4.75,2,5.75,3,2,1.7,2.4,-0.05,"Indirect"
"247",247,"Control",23,3,2,1,"post",4.2,4.66666666666667,5.75,1,6.5,2,1,1.3,1.6,-0.25,"Control"
"248",248,"Direct",20,2,1,1,"post",3.8,5,5.65,1,6.875,1,1,1.05,1.2,0,"Direct"
"249",249,"Indirect",21,3,1,1,"post",4.8,3.66666666666667,5.85,2,6.625,2,1,1.15,1.2,-0.25,"Indirect"
"250",250,"Direct",18,1,2,1,"post",3.4,3.66666666666667,4.65,3,5.625,2,2,1.7,1,-0.3,"Direct"
"251",251,"Indirect",19,1,1,1,"post",2.8,4,5.1,2,6.25,3,1,1.35,1.8,0,"Indirect"
"252",252,"Control",19,1,1,1,"post",3,2,3.95,4,6,5,1,2.15,3,-0.1,"Control"
"253",253,"Direct",19,1,2,1,"post",3.2,4,4.45,2,5.875,3,1,1.5,1.8,-0.25,"Direct"
"254",254,"Indirect",18,1,2,1,"post",4.2,3.66666666666667,4.55,2,6.625,3,1,1.5,2.6,-0.1,"Indirect"
"255",255,"Control",19,2,2,1,"post",3.4,2.33333333333333,2.75,3,5.125,4,1,3,3.4,0.1,"Control"
"256",256,"Direct",19,1,2,1,"post",3.8,3.66666666666667,4.2,2,5.75,1,1,2.05,1.2,-0.6,"Direct"
"257",257,"Indirect",20,2,1,1,"post",3.6,5,5.7,2,6.875,2,1,1.15,1,-0.3,"Indirect"
"258",258,"Control",20,1,2,1,"post",2.8,4.66666666666667,5.55,1,6.375,1,2,1.4,1,0.15,"Control"
"259",259,"Direct",20,3,2,1,"post",3.4,3.66666666666667,5.2,2,6.25,3,1,1.3,1.2,-0.3,"Direct"
"260",260,"Indirect",19,2,1,1,"post",2.8,3.33333333333333,4.4,3,5.75,2,1,2.25,1,0,"Indirect"
"261",261,"Control",36,3,2,1,"post",4.8,4.66666666666667,5.35,2,7,2,1,1.2,1,-0.15,"Control"
"262",262,"Direct",22,3,2,1,"post",5,4.33333333333333,5.6,1,6.625,1,1,1.42105263157895,1.6,-0.228947368421053,"Direct"
"263",263,"Indirect",19,1,2,1,"post",2.8,3.33333333333333,4.9,2,5.625,4,2,1.85,1.6,0.1,"Indirect"
"264",264,"Control",19,1,2,1,"post",3.6,4.33333333333333,5.4,1,6,4,3,1.3,1.8,-0.2,"Control"
"265",265,"Direct",18,1,1,1,"post",4.2,4.33333333333333,4.9,3,6.75,1,1,2.15,1.4,-0.4,"Direct"
"266",266,"Indirect",18,1,1,1,"post",2.8,4,3.84210526315789,2,6.375,1,1,2.2,1.4,-0.0499999999999998,"Indirect"
"267",267,"Control",19,2,2,1,"post",2.2,3.66666666666667,4.9,3,6,3,2,1.65,1.2,-0.35,"Control"
"268",268,"Direct",20,2,2,1,"post",3.8,4,2.95,3,5.625,2,2,2.85,1.2,-0.65,"Direct"
"269",269,"Indirect",21,4,2,1,"post",4.75,3.33333333333333,3.95,4,5.625,2,4,2.4,1.5,0,"Indirect"
"270",270,"Control",24,5,2,1,"post",2.8,3.66666666666667,4.6,4,5.625,3,1,1.8,1.2,0.1,"Control"
"271",271,"Direct",23,4,1,1,"post",3.4,2.33333333333333,3.55,3,5.875,1,2,2.5,1.4,-0.3,"Direct"
"272",272,"Indirect",18,1,2,1,"post",3,3.33333333333333,4.15,3,5.25,1,1,2.2,1,-0.0999999999999996,"Indirect"
"273",273,"Control",19,2,2,1,"post",3.8,4,5.05,1,5.75,1,1,1.55,1.6,0,"Control"
"274",274,"Direct",18,1,1,1,"post",3.4,3.66666666666667,4.8,2,5.875,1,2,1.7,1.6,-0.4,"Direct"
"275",275,"Indirect",20,2,1,1,"post",3.8,3.33333333333333,5.15,2,6.125,3,4,1.75,2.2,-0.2,"Indirect"
"276",276,"Control",18,1,2,1,"post",4.6,4,5.3,4,6.75,1,3,1.8,1.8,-0.25,"Control"
"277",277,"Direct",19,2,2,1,"post",2.8,2,4.35,3,4.375,3,4,2.05,2.4,-0.25,"Direct"
"278",278,"Indirect",19,2,2,1,"post",3.8,3.33333333333333,3.6,3,5.125,3,4,2.2,1.2,-0.2,"Indirect"
"279",279,"Control",21,4,1,1,"post",3.4,2.33333333333333,5,1,5.875,3,1,1.75,1.4,0.3,"Control"
"280",280,"Direct",22,2,2,1,"post",3.6,3,4.85,2,5.375,2,3,1.7,1,-0.2,"Direct"
"281",281,"Indirect",21,3,1,1,"post",3.2,4.33333333333333,5.35,3,6.5,2,1,1.4,1.2,-0.1,"Indirect"
"282",282,"Control",20,3,1,1,"post",3.2,5,5.55,4,6,3,2,1.15,1.2,-0.3,"Control"
"283",283,"Direct",19,1,2,1,"post",3.8,3.33333333333333,4.45,2,4.625,2,1,2,1.8,-0.5,"Direct"
"284",300,"Indirect",19,2,2,2,"post",2.8,4,4.7,3,5.625,3,2,1.9,2.6,-0.15,"Indirect"
